"Name","State","embedding","preset","Created","Runtime","task","arch","cities","test_acc_macro","test_acc","test_f1","test_f1_micro","test_kappa","test_miou","test_loss","val_acc_macro","val_acc","val_f1","val_f1_micro","val_kappa","val_miou","val_loss","train_acc_macro","train_oa","train_f1_macro","train_f1_micro","train_kappa","train_loss","train_ce","train_dice","batch_size","dice_weight","in_channels","n_params","num_classes","patch_size","year","max_epochs","epoch","early_stopping_patience","lr","weight_decay","label_source","split_source","test_patches","train_patches","val_patches","data_source","sub_patch_size","head_dropout"
"distinctive-water-222","finished","AlphaEarthCoop","medium","2026-05-19T17:43:19.000Z","1995","patch_classification","densenet201","[""London"",""Nairobi""]","0.7062236070632935","0.8473551869392395","0.6706755757331848","0.8473551869392395","0.8185835480690002","","0.6175799920031476","0.7386200428009033","0.8456221222877502","0.7444440126419067","0.8456221222877502","0.8184391260147095","","0.6748998946690511","0.8472965955734253","0.9089709520339966","0.8754380941390991","0.9089709520339966","0.8945507407188416","0.2783723248950252","","","64","","64","18316881","17","32","2017","50","43","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"likely-snow-221","finished","AlphaEarthCoop","small","2026-05-19T17:23:21.000Z","878","patch_classification","densenet161","[""London"",""Nairobi""]","0.6660912036895752","0.8491184115409851","0.6563044786453247","0.8491184115409851","0.8190650939941406","","0.572381944151684","0.6434648036956787","0.8489503264427185","0.6420580744743347","0.8489503264427185","0.8212354183197021","","0.595659951198726","0.7785770893096924","0.8794937133789062","0.8284488320350647","0.8794937133789062","0.8595994710922241","0.3847549384690841","","","64","","64","26796497","17","32","2017","50","20","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"neat-feather-220","finished","AlphaEarthCoop","large","2026-05-19T16:16:32.000Z","3553","patch_classification","resnet152","[""London"",""Nairobi""]","0.6690503358840942","0.8433249592781067","0.6488276124000549","0.8433249592781067","0.8136743307113647","","0.7023502081505112","0.7132101655006409","0.8394777178764343","0.71628737449646","0.8394777178764343","0.8112797737121582","","0.7514008400819054","0.8578420281410217","0.9144129157066344","0.8807735443115234","0.9144129157066344","0.9010028839111328","0.2648486188345031","","","64","","64","58369937","17","32","2017","50","50","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"volcanic-wildflower-219","finished","AlphaEarthCoop","medium","2026-05-19T15:41:41.000Z","1721","patch_classification","resnet101","[""London"",""Nairobi""]","0.6471960544586182","0.8730478882789612","0.6524442434310913","0.8730478882789612","0.8469310998916626","","0.5687058443186938","0.668253481388092","0.8338453769683838","0.6697503924369812","0.8338453769683838","0.8034769892692566","","0.6831858222402872","0.8095687627792358","0.8888934850692749","0.8518826365470886","0.8888934850692749","0.8707631826400757","0.35297508582000997","","","64","","64","42726289","17","32","2017","50","33","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"flowing-microwave-218","finished","AlphaEarthCoop","small","2026-05-19T15:22:09.000Z","911","patch_classification","resnet34","[""London"",""Nairobi""]","0.67486971616745","0.8556675314903259","0.6528010964393616","0.8556675314903259","0.8271745443344116","","0.6047818481271702","0.7005069851875305","0.8507424592971802","0.6975975036621094","0.8507424592971802","0.823888897895813","","0.6389775317793172","0.8155955076217651","0.8931398391723633","0.8516346216201782","0.8931398391723633","0.8758949041366577","0.32978315303460903","","","64","","64","21484689","17","32","2017","50","34","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"noble-river-217","finished","EmbeddedSeamless","large","2026-05-18T22:50:23.000Z","3225","patch_classification","resnet152","[""London"",""Nairobi""]","0.6754760146141052","0.8209068179130554","0.6391107439994812","0.8209068179130554","0.7879692316055298","","0.7945793309648123","0.6321974992752075","0.8156682252883911","0.6339703798294067","0.8156682252883911","0.7843431234359741","","0.9478342044017009","0.9159945249557496","0.9518057107925416","0.9238611459732056","0.9518057107925416","0.9444122314453124","0.14643389704615117","","","64","","72","58395025","17","32","2017","50","46","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"clean-dragon-216","finished","EmbeddedSeamless","medium","2026-05-18T22:00:09.000Z","2486","patch_classification","resnet101","[""London"",""Nairobi""]","0.6651952266693115","0.8171284794807434","0.6314203143119812","0.8171284794807434","0.7834669947624207","","0.7892391110386049","0.7202833890914917","0.8131080269813538","0.6980631947517395","0.8131080269813538","0.7812536954879761","","0.9473149790879218","0.9060030579566956","0.9410042762756348","0.9143239259719848","0.9410042762756348","0.9319550395011902","0.17932093658516465","","","64","","72","42751377","17","32","2017","50","48","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"volcanic-planet-215","finished","EmbeddedSeamless","small","2026-05-18T21:35:31.000Z","1086","patch_classification","resnet34","[""London"",""Nairobi""]","0.6327030658721924","0.811335027217865","0.6076217889785767","0.811335027217865","0.7752519845962524","","0.8129498167406946","0.6546176075935364","0.8166922926902771","0.6443867683410645","0.8166922926902771","0.7853311896324158","","0.8208331753379635","0.8803678750991821","0.927894115447998","0.8955559134483337","0.927894115447998","0.9167560935020448","0.21578776413245537","","","64","","72","21509777","17","32","2017","50","41","10","0.001","0.0001","","grid","3970","24292","3906","so2sat_patches","",""
"rose-water-211","finished","GeoTessera_v1.1","large","2026-05-18T18:28:20.000Z","3679","patch_classification","resnet152","[""London"",""Nairobi""]","0.8207550048828125","0.9316326379776","0.7819596529006958","0.9316326379776","0.918937921524048","","0.33692037422705684","0.8427731394767761","0.9241094589233398","0.8411669731140137","0.9241094589233398","0.9111400842666626","","0.35742691484447875","0.9784144163131714","0.9844574332237244","0.9770371317863464","0.9844574332237244","0.9820948243141174","0.06847306512453467","","","64","","128","58570641","17","32","2017","50","50","10","0.001","0.0001","","grid","3920","24265","3874","so2sat_patches","",""
"rose-meadow-210","finished","GeoTessera_v1.1","medium","2026-05-18T17:01:12.000Z","2787","patch_classification","resnet101","[""London"",""Nairobi""]","0.8635883927345276","0.9385204315185548","0.8298529386520386","0.9385204315185548","0.927078366279602","","0.28831310817340927","0.8475163578987122","0.923335075378418","0.8427203893661499","0.923335075378418","0.9101098775863647","","0.3720370833380301","0.978401243686676","0.9842513203620912","0.9768047332763672","0.9842513203620912","0.9818581342697144","0.06850809291727586","","","64","","128","42926993","17","32","2017","50","50","10","0.001","0.0001","","grid","3920","24265","3874","so2sat_patches","",""
