SMOD_ID,JRC_NAME_MAIN,ISO,CNTRY_NAME,minx,miny,maxx,maxy
30_82,Benguela,AGO,Angola,13.330068423000057,-12.639943283999969,13.450297598000077,-12.550145537999981
30_4679,Southampton,GBR,United Kingdom,-1.5306838989999392,50.84814990400008,-1.2774547869999537,50.95393093400003
30_6815,Palakkad,IND,India,76.59593231200006,10.740299744000026,76.72082919500008,10.821729821000076
30_11629,Burao,SOM,Somalia,45.51664962800004,9.495427095000025,45.56763564500005,9.544211524000048
30_2551,Shuyang,CHN,China,118.71934770400003,34.03180753400005,118.85074966400009,34.153445660000045
30_3853,Balyana,EGY,Egypt,31.912555835000035,26.149742726000056,32.091056854000044,26.25089084800004
30_11905,Port Of Spain,TTO,Trinidad and Tobago,-61.616560386999936,10.62631172700003,-61.32705467499994,10.740299744000026
30_8351,Dhulian,IND,India,87.86838497400004,24.594483730000036,87.97542762400008,24.703526666000073
30_7459,Kumbakonam,IND,India,79.32005612200004,10.943890827000075,79.44791573200007,11.000905877000037
30_9291,Safi,MAR,Morocco,-9.270641611999963,32.21491794100007,-9.189842164999959,32.335608035000064
30_982,Montes Claros,BRA,Brazil,-43.896031360999984,-16.77697202199994,-43.80702602599996,-16.678301844999964
30_537,Faridpur,BGD,Bangladesh,89.77299712500007,23.53944516400003,89.89227384400004,23.639784005000024
30_9626,Naypyidaw,MMR,Myanmar,96.13106251500005,19.72192830000006,96.23663779600008,19.771591228000034
30_3041,Wenling,CHN,China,121.28958064900007,28.349020494000058,121.420466153,28.47641502500005
30_3236,Kongolo,COD,Democratic Republic of the Congo,26.983045928000024,-5.413744592999933,27.013948438000057,-5.357034815999953
30_1961,Kaili,CHN,China,107.88269809200006,26.52922103900005,108.01838503500005,26.62205454900004
30_9928,Ogbomosho,NGA,Nigeria,4.186539441000036,8.089896509000027,4.307230224000023,8.179206193000027
30_3840,Tima,EGY,Egypt,31.40620771500005,26.824699872000053,31.536672777000035,26.926074030000052
30_5573,Nadiad,IND,India,72.80729256300003,22.66270447100004,72.89670030300005,22.729427678000036
30_679,Satkania,BGD,Bangladesh,91.98459100500008,21.95452369900005,92.15720781000005,22.129359321000038
30_11202,Belgorod,RUS,Russia,36.49148805100003,50.54092374000004,36.68086922600003,50.65604669000004
30_1221,Changji/Sanji,CHN,China,87.21284750100006,43.95961848300004,87.35896500500007,44.05121247400007
30_9206,Pohang-Si,KOR,South Korea,129.3141635290001,35.94233365100007,129.44248766200008,36.126432101000034
30_7160,Dindigul,IND,India,77.94194329700008,10.333273973000075,78.02000672000008,10.390245255000025
